station_id,connection_id,connection_type_id,connection_type_title,connection_formal_name,is_discontinued,is_obsolete,reference,status_type_id,status_title,is_operational,is_user_selectable,level_id,level_title,level_comments,is_fast_charge_capable,amps,voltage,power_kw,current_type_id,current_type_title,current_type_description,quantity,comments
427,154665,33,CCS (Type 2),IEC 62196-3 Configuration FF,False,False,,50.0,Operational,True,True,3.0,Level 3:  High (Over 40kW),40KW and Higher,True,,,22.0,30.0,DC,Direct Current,1.0,
427,154666,2,CHAdeMO,IEC 62196-3 Configuration AA,,,,50.0,Operational,True,True,3.0,Level 3:  High (Over 40kW),40KW and Higher,True,,,22.0,30.0,DC,Direct Current,1.0,
428,153147,25,Type 2 (Socket Only),IEC 62196-2 Type 2,False,False,,50.0,Operational,True,True,2.0,Level 2 : Medium (Over 2kW),"Over 2 kW, usually non-domestic socket type",False,,,22.0,,,,,
429,153130,1036,Type 2 (Tethered Connector) ,IEC 62196-2,False,False,,50.0,Operational,True,True,3.0,Level 3:  High (Over 40kW),40KW and Higher,True,63.0,400.0,43.0,20.0,AC (Three-Phase),Alternating Current - Three Phase,1.0,
429,153131,25,Type 2 (Socket Only),IEC 62196-2 Type 2,False,False,,50.0,Operational,True,True,2.0,Level 2 : Medium (Over 2kW),"Over 2 kW, usually non-domestic socket type",False,32.0,400.0,22.0,20.0,AC (Three-Phase),Alternating Current - Three Phase,1.0,
429,586552,33,CCS (Type 2),IEC 62196-3 Configuration FF,False,False,SEBI ,50.0,Operational,True,True,3.0,Level 3:  High (Over 40kW),40KW and Higher,True,120.0,500.0,50.0,30.0,DC,Direct Current,1.0,Open for all users 0-24h
429,586553,2,CHAdeMO,IEC 62196-3 Configuration AA,,,SEBI ,50.0,Operational,True,True,3.0,Level 3:  High (Over 40kW),40KW and Higher,True,120.0,500.0,50.0,30.0,DC,Direct Current,1.0,Open for all users 0-24h
430,153046,25,Type 2 (Socket Only),IEC 62196-2 Type 2,False,False,,50.0,Operational,True,True,2.0,Level 2 : Medium (Over 2kW),"Over 2 kW, usually non-domestic socket type",False,32.0,400.0,22.0,20.0,AC (Three-Phase),Alternating Current - Three Phase,4.0,
431,153036,25,Type 2 (Socket Only),IEC 62196-2 Type 2,False,False,,50.0,Operational,True,True,2.0,Level 2 : Medium (Over 2kW),"Over 2 kW, usually non-domestic socket type",False,32.0,400.0,22.0,20.0,AC (Three-Phase),Alternating Current - Three Phase,2.0,
432,152957,25,Type 2 (Socket Only),IEC 62196-2 Type 2,False,False,,50.0,Operational,True,True,2.0,Level 2 : Medium (Over 2kW),"Over 2 kW, usually non-domestic socket type",False,32.0,400.0,22.0,20.0,AC (Three-Phase),Alternating Current - Three Phase,2.0,
